Input,Category
अमेरिकी किशोरी कोको गउफले युएस ओपनको फाइनलमा आर्यना साबालेन्कालाई पराजित गर्दै आफ्नो पहिलो ग्राण्डस्लाम उपाधि जितेर इतिहास बनाएका छिन्।छैटौं वरीयता प्राप्त गउफले घरेलु मैदानमा राम्रो सुरूवात भने गर्न सकिनन्। बिस्तारै लयमा फर्किएकी उनले न्यूयोर्कमा दोस्रो वरीयताकी बेलारुसकी साबालेन्कालाई पराजित सफल भइन्। उनले पहिलो सेट ६-२ लले साबालेन्कालाई सुम्पिएकी थिइन्। तर दोस्रो सेटमा उनले ६-३ को जित निकाल्न सफल भइन्। निर्णायक तेस्रो सेटमा उनले ६-२ ले विजयी भएसँगै पहिलो मुख्य उपाधि उचालिन्। १९ वर्षीय गफले जिपछि आफ्नो मुख्य उपाधि जित्ने सपना पूरा भएको बताइन्। उनले भनिन् ‘म यस क्षणको लागि आभारी छु। मसँग कुनै शब्दहरू छैनन्।’यसअघि उनले सन् २०२२ को फ्रेञ्च ओपनको फाइनलमा पराजय भोग्न परेको थियो। अष्ट्रेलियन ओपन च्याम्पियन सबालेन्काले भने दोस्रो ठूलो उपाधिका  लागि केही सम कुर्नुपर्ने भएको छ। २५ वर्षीया साबालेन्का फाइनल हारे पनि विश्व वरीयताको नम्बर एकमा पुग्नेछिन्।,Sports
अन्तर्राष्ट्रिय मैत्रीपूर्ण फुटबल खेलमा जर्मनीमाथि जापानले सानदार जित हात पारेको छ। जर्मनीमा भएको खेलमा जापानले ४-१ गोलको जित हात पारेको हो।खेलको ११ मिनेटमा इटोको गोलबाट जापानले अग्रता लिएको थियो। तर १९ मिनेटमा जर्मनीका लिरोए सानेले बराबरी गोल फर्काए।२२ मिनेटमा उइडाले गोल गरेपछि जापानले खेलमा दोस्रो पटक अग्रता लिएको थियो। जापानका लागि तेस्रो गोल असानोले ९० मिनेटमा र चौथो गोल तनाकाले इन्जुरी टाइमको दोस्रो मिनेटमा गरे। मैत्रीपूर्ण खेलमा जापानसँग ४–१ ले पराजित भएपछि जर्मनीका प्रशिक्षक हान्सी फ्लिक गम्भीर दबाबमा परेका छन्।जर्मनीको यो सन् २०२० मा स्पेनसँगको नेसन्स लिगमा ६-० ले पराजित भएपछिको सबैभन्दा ठूलो धक्का हो।बायर्न म्युनिखका पूर्व प्रशिक्षक फ्लिकले अगस्ट २०२१ मा जोआकिम लोलाई प्रतिस्थापन गरेपछि आफ्नो २५ खेल मध्ये १२ मात्रै जितेका छन्।जर्मनी पनि २०२२ को विश्वकपमा जापानसँग २-१ ले हारेको थियो।  युरो २०२४ को आयोजना गर्ने जर्मनीले मंगलबार डर्टमण्डमा  २०२२ को विश्वकपको फाइनलमा पुगेका फ्रान्ससँग प्रतिस्पर्धा गर्नेछ।,Sports
"एसिया कप २०२३ अन्तर्गत सुपर फोरको खेलमा श्रीलंकाले बंगालदेशलाई २१ रनले पराजित गरेको छ। शनिबार कोलम्बोमा भएको खेलमा पहिले ब्याटिङ गरेको श्रीलंकाले ९ विकेटको क्षतिमा २५७ रन जोड्यो। उसका लागि समाविक्रमाले ९३ रन जोडे भने कुशल मेन्डिसले ५० रनको योगदान गरे। बलिङमा बंगलादेशका टक्सिन अहमद र हसन मुहमदले ३-३ विकेट लिए।  २५८ रनको लक्ष्य पछ्याएको बंगलादेश ४८.१ ओभरमा २३६ रनमा अलआउट भयो। उसका लागि तोहिद हृदयले ८२ रन जोडे पनि जितका लागि पर्याप्त हुन सकेन। बलिङमा श्रीलंकाका महीश तिक्षणा, डसुन शनका र महीशा पाथिरानाले ३-३ विकेट लिए। सुपर फोरमा आज भारत र पाकिस्तान भिड्दैछन्। ",Sports
"एसिया कपमा आज भारत र पाकिस्तान खेल्दै छन्।श्रीलंकाको कोलम्बोस्थित आर प्रेमदासा स्टेडियममा नेपाली समय अनुसार आज अपराह्न सवा तीन बजेदेखि खेल सुरू हुनेछ।भारत-पाकिस्तानको आजको खेल सुपर फोर अन्तर्गतको खेल हो। आजको खेल पूरा ओभर खेलाउनका लागि ‘रिजर्भ डे’ राखिएको छ।यसअघि समूह चरणमा भारत-पाकिस्तानबीचको खेल वर्षाका कारण रद्द भएको थियो।चिर परिचित प्रतिद्वन्द्वी भारत र पाकिस्तान चार वर्षपछि एकदिवसीय क्रिकेटमा आमनेसामने भएका हुन्।सन् २०१९ को एकदिवसीय विश्वकपमा भारत र पाकिस्तान भिडेको पछिल्लो एकदिवसीय खेल हो। सो खेलमा भारत डिएल मेडथमा ८९ रनले विजयी भएको थियो।त्यसपछि भारत र पाकिस्तान टी-२० खेलमा मात्र प्रतिस्पर्धा गरेका थिए।सुपर फोरमा पाकिस्तानले दोस्रो खेल खेल्दैछ। यसअघि बुधबार बंगलादेशलाई ७ विकेटले हराएर पाकिस्तानले सुपर फोरमा  सुखद सुरुवात गरिसकेको छ।सुपर फोर अन्तर्गत हिजो भएको खेलमा पनि बंगलादेश श्रीलंकासँग २१ रनले पराजित भएको थियो। सुपर फोरबाट शीर्ष स्थानमा पुग्ने २ टिमले उपाधिका लागि भिड्नेछ्न्।भारतविरूद्धको खेलका लागि पाकिस्तानले शनिबार नै टिम घोषणा गरिसकेको छ।पाकिस्तान टिममा बाबर आजम (कप्तान), शादब खान (उपकप्तान), फखर जमन, इमाम उल हक, सलमान अलि अघ, इफ्तिखर अहमद, मोहम्मद रिजवान, फहिम असरफ, नसीम शाह, शाहिन शाह अफ्रिदी र हरिश रौफ छन् ।भारतले टिम घोषणा गरिसकेको छैन। उसले केएल राहुललाई आजको खेलमा समावेश गर्ने चर्चा छ। ",Sports
"नेपाल हक्की संघको दोश्रो केन्द्रीय महाधिवेशनले अनिलप्रसाद शर्माको नेतृत्वमा १६ सदस्यीय केन्द्रीय कार्यसमिति शनिबार निर्विरोध चयन गरेको छ। यसअघि शर्मा संघको कार्यवाहक अध्यक्ष थिए ।मनीष झा, राजेन्द्रप्रसाद श्रेष्ठ, हिमाल खड्का र भगवती खड्काले उपाध्यक्ष, सुवर्ण श्रेष्ठले महासचिव, असिम शर्माले सचिव र रामेश्वर घिमिरेले कोषाध्यक्षको जिम्मेवारी पाए।कान्तुराम पनेरु, बाबुराम साह, निजामुद्दिन सिद्दिकी, अञ्जु प्रधान श्रेष्ठ, पवन केसी, सावित्री रजाली, मिलन केसी र हित गुरुङ सदस्यमा चयन भए ।नवनिर्वाचित पदाधिकारीहरुलाई राष्ट्रिय खेलकुद परिषद्अन्तर्गत खेलकुद विकास विभागका प्रमुख एवं प्रमुख निर्वाचन अधिकृत मिनकुमार शर्माले एक कार्यक्रमबीच पद तथा गोपनीयताको शपथ ग्रहण गराए।यसअघि महाधिवेशनको परराष्ट्र मन्त्री एनपी साउदले उद्घाटन गरेका थिए ।",Sports
अञ्जन विष्टले पाएको पेनाल्टी अवसरमा गोल गर्न नसक्दा नेपालले म्यानमारसँग बराबरी खेलेको छ। शुक्रबार म्यानमारको घरेलु मैदानमा भएको अन्तर्राष्ट्रिय मैत्रीपूर्ण फुटबल खेल गोलरहित बराबरीमा सकिएको हो। खेलको ६३ मिनेटमा म्यानमारका फियो विनले बलले हातले छोए पछि नेपालले पेनाल्टी पाएको थियो। तर प्राप्त अवसरमा नेपालका अञ्जनको प्रहारलाई म्यानमारका गोलकिपरले जिन फ्योले विफल पारिदिए।अञ्जन चुकेसँगै नेपालले फिफा वरीयतामा आफूभन्दा माथिको टिमविरुद्ध जित निकाल्न असफल भयो। अब नेपाल र म्यानमारबीच सोमबार दोस्रो खेल हुनेछ।,Sports
"चेल्सी वल्र्ड स्कुलको आयोजनामा तेश्रो चेल्सी अन्तरविद्यालय रेड रेस भदौ २७ गते हुने भएको छ।रेसमा विभिन्न १९ विद्यालयका ३ सय ४२ प्रतिस्पर्धीको सहभागिता निश्चित भइसकेको चेल्सीका अत्तिरिक्त कृयाकलाप प्रमुख राजन न्यौपानेले जनाएका छन्।रेसमा कक्षा ८ देखि १० सम्म अध्ययनरत विद्यार्थीले भाग लिन पाउने छन् । शीर्ष ५ स्थानमा रहने खेलाडीलाई पुरस्कृत गरिने छ । समग्रमा टिम च्याम्पियनको पनि घोषणा गरिने छ। दौड नेपाल मेडिकल चोकबाट सुरु भइ जोरपाटी, नारायणटार हुँदै अत्तरखेलस्थित चेल्सीकै प्राङ्गणमै आएर टुंगिने छ ।",Sports
आइसिसी महिला टी-२० विश्वकप एसिया छनोटमा नेपाल सेमिफाइनलमा पराजित भएको छ। शुक्रबार मलेसियामा भएको छनोटको सेमिफाइनलमा नेपाललाई थाइल्यान्डले ४६ रनले पराजित गरेको हो। यससँगै नेपालको विश्व छनोट खेल्ने लक्ष्य समाप्त भएको छ। नेपाललाई पराजित गरेसँगै थाइल्यान्ड भने विश्व छनोटमा पुगेको छ। प्रतियोगिताबाट दुई टिम विश्व छनोट पुग्ने प्रावधान छ।थाइल्यान्डले दिएको १०६ रनको लक्ष्य पछ्याएको नेपाल १९.३ ओभरमा ५९ रनमा अलआउट भयो।नेपालका लागि कविता कुँवरले सबैभन्दा बढी नटआउट १७ रन जोड्दा कविता जोशी र अप्सरी बेगमले १०-१० रन बनाए। नेपालका अरु ब्याटरले दोहोरो अंकमा रन बटुल्न सकेनन्। बलिङमा थाइल्यान्डकी ओनिचा र थिपच्चाले ३-३ विकेट लिए।त्यसअघि टस जितेको नेपालले बलिङ रोजेपछि पहिले ब्याटिङ गरेको थाइल्यान्डले २० ओभरमा २ विकेटको क्षतिमा १०५ रन जोड्यो।उसका लागि नन्नापतले नटआउट ५९ रन जोडिन्। उनले ६३ बल खेल्दा ४ चौका प्रहार गरेकी थिइन्। बलिङमा नेपालकी कविता कुँवर र पूजा महतोले एक एक विकेट लिए।  ,Sports
फिफा विश्वकप २०२६ अन्तर्गत दक्षिण अमेरिकी छनोटमा अर्जेन्टिनाले विजयी सुरुवात गरेको छ।शुक्रबार विहान सम्पन्न खेलमा अर्जेन्टिनाले इक्वेइडरलाई १-० गोलले पराजित गर्‍यो।ब्युनोस आयर्समा भएको खेलमा अर्जेन्टिनालाई जिताउन मेसीले निर्णायक गोल गरे।उनले खेलको ७८ मिनेटमा गोल गरेका थिए। मेसीले फ्रिकिकमार्फत उत्कृष्ट गोल गरेका थिए।छनोटका अन्य खेलमा पाराग्वे र  पेरुले गोलरहित बराबरी खेल्दा कोलम्बियाले भेनेजुएलालाई १-० गोलले हराएको छ।,Sports
"मलेसियामा जारी आइसिसी महिला टी-२० विश्वकप एसिया छनोटको सेमिफाइनल खेलमा नेपाल थाइल्यान्डविरूद्ध बलिङ गरिरहेको छ।कलालाम्पुरको रहेको बायुमास ओभलमा टस जितेर नेपालले फिल्डिङ रोजेको हो।थाइल्यान्डको तर्फबाट नन्नापट खोन्चरोन्कइ र  नात्थकन चन्थम ब्याटिङमा छन्। ओपनर सुवानन खियटो २ रन बनाएर आउट भइसकेकी छन्। नेपालकी कविता कुँवर, कविता जोशी र इन्दु बर्माले बलिङ गरिरहेका छन्। कुँवरले एक विकेट लिएकी छन्।खेलको ६ ओभर सकिँदा थाइल्यान्डले १ विकेट गुमाएर १५ रन बनाएको छ।यो खेलमा जित हात पार्न सके नेपाल महिला टी-२० विश्वकप छनोटमा पुग्नेछ। प्रतियोगिताबाट दुई टिम विश्व छनोटमा पुग्ने प्रावधान छ।नेपालले विश्वकप छनोटमा स्थान पक्का गरे १० टिमसँग प्रतिस्पर्धा गर्नेछ।१० टिम मध्ये २ टिमले सन् २०२४ मा बंगलादेशमा हुने महिला टी-२० विश्वकपमा स्थान पक्का गर्नेछन्। ",Sports
प्रदेश खेलकुद विकास समितिहरुले प्रत्येक बर्ष अन्तर प्रदेश राष्ट्रिय खेलकुद गर्ने भएका छन्।हेटौंडामा  प्रदेश खेलकुद परिषद्का सदस्य–सचिवहरुको बैठकले यस्तो निर्णय गरेको हो । यस्तो प्रतियोगिता प्रदेशहरुले आलोपालो रुपमा आयोजना गर्ने भएका छन् ।बागमती प्रदेश खेलकुद विकास परिषद्का अध्यक्ष प्रदेश सामाजिक विकास मन्त्री कुमारी मोक्तानको अध्यक्षतामा बसेको बैठकले प्र्रत्येक बर्ष अन्तर प्रदेश राष्ट्रिय खेलकुद आयोजना गर्नेे निर्णय गरेको सदस्य सचिव सूर्यलाल भण्डारीले जानकारी गराएका छन् ।प्रथम अन्तर प्रदेश राष्ट्रिय खेलकुद बागमती प्रदेशले आगामी फागुनमा आयोजना गर्दै छ । उक्त प्रतियोगितामा सहसभागि हुने प्रदेशहरुले टिम तयारी आफ्नै खर्चमा गर्ने निर्णय भएको छ । स्थानिय तहबाट नै खेलाडी छनौट गरि प्रदेश टिम बनाउने गरि छलफल भएको भण्डारीले जानकारी गराएका छन् ।  राष्ट्रिय खेलकुद परिषदले आयोजना गर्ने राष्ट्रिय खेलकुदमा प्रदेश सहित विभागीय र अन्य टिमको सहभागिता हुने गर्दछ भने अन्तर प्रदेश खेलकुदमा प्रदेश टिम मात्र सहभागि हुन पाउने छन । प्रथम प्रदेश खेलकुद आयोजनाका लागि बागमती प्रदेशले यस अघि नै निर्णय गरि सकेको छ भने आवश्यक बजेट समेत विनियोजन भई सकेको भण्डारीले बताएका छन् ।,Sports
